branch,category,subcategory,product_name,price,image_url,product_url
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Sandwich Bread,216,https://static.tossdown.com/images/b0ddae65-179c-4e95-a333-a4a2a4315c5d.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Bran Sandwich Bread,216,https://static.tossdown.com/images/f219954f-9abf-4568-95de-e54817702ab7.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Sandwich Bread Max,216,https://static.tossdown.com/images/a665b2d8-3ea2-41b5-9a61-aa11124ed3a7.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Plain Bread Large,216,https://static.tossdown.com/images/f2b76179-18a6-4fcc-8715-7907a4275480.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Plain Bread Small,114,https://static.tossdown.com/images/a113dd77-e1f5-4b2d-b277-1547484cab10.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Milky Bread Large,268,https://static.tossdown.com/images/5bc3dc35-683a-40c8-a168-97a4ccd45e99.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Bran Bread Small,114,https://static.tossdown.com/images/0173df23-825e-48fb-b711-f0875598f1fc.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Bran Bread Large,216,https://static.tossdown.com/images/c13cf0ab-aff4-438c-ae94-50ac280368fc.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Fiber Bread Small,188,https://static.tossdown.com/images/0cfdde27-1c3f-4a4e-ae13-8f89b0f1bed4.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Multi Seed Bread,388,https://static.tossdown.com/images/145ce0f5-44bf-4ffe-8160-d73b3de05be1.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Whole Wheat Bread Large,216,https://static.tossdown.com/images/516137f6-8bcb-4b5c-a2fc-caa6c2b2fb98.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Pita Bread 4 Pcs,148,https://static.tossdown.com/images/b8876bcd-72cf-4aa5-840c-c049d13356e5.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Bread,Garlic Bread,198,https://static.tossdown.com/images/6b651a9d-4a3d-4b60-bed0-35cf336d9758.webp,https://jalalsons.com.pk/search?filter=10274
Johar Town Shaukat Khanum Flyover Branch Lahore,BAKERY,Buns,French Butter Croissant 1Pc,126,https://static.tossdown.com/images/d63170e5-72be-4865-881d-94366c6512ba.webp,https://jalalsons.com.pk/search?filter=10377
