name,price,main_category,sub_category,url,image_url,discount
Onions per 250GM,Rs. 54,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/onions-per-250gm/12620422,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,23% OFF - Weekend Deal
Potato A Quality per 250GM,Rs. 24,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/potato-a-quality-per-250gm/12620748,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,16% OFF - Weekend Offer
Tomatoes Per 250GM,Rs. 75,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/tomatoes-per-250gm/12620008,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,17% off - weekend
Cucumber Per 250GM,Rs. 50,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/cucumber-per-250gm/12620049,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,22% OFF - Weekend Offer
Potato White A-Grade Per 250GM,Rs. 24,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/potato-white-a-grade-per-250gm-/12620374,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,14% OFF - Weekend Offer
Spinach Per 250GM,Rs. 11,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/spinach-per-250gm-/12620266,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,0
Tori Per 250GM,Rs. 34,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/tori-per-250gm/12620467,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,0
Green Cabbage Per 500GM,Rs. 125,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/green-cabbage-per-500gm/12620076,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,20% OFF - Weekend Offer
Round Aubergines (Baingan) Per 250GM,Rs. 14,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/round-aubergines-(baingan)-per-250gm/12620307,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,29% OFF - Weekend Deal
Potato Premium per 250GM,Rs. 24,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/potato-premium-per-250gm/12642461,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,0
Okra (Bhindi) Per 250GM,Rs. 62,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/okra-(bhindi)-per-250gm-/12620219,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,26% OFF - Weekend Offer
Cauliflower Per 500GM,Rs. 35,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/cauliflower-per-500gm/12620194,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,30% OFF - Weekend Offer
Arvi Per 250GM,Rs. 20,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/arvi-per-250gm-/12620316,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,0
Bottle Gourd Round Per 500GM,Rs. 90,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/bottle-gourd-round-per-500gm/12623295,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,40% OFF - Weekend Deal
Green Capsicum Per 250GM,Rs. 137,Fruits And Vegetables,Fresh Vegetables,https://www.metro-online.pk/detail/fresh-food/fruits-and-vegetables/fresh-vegetables/green-capsicum-per-250gm/12620078,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,16% OFF - Weekend Deal
