name,price,original_price,discount,image_url,url
Maybelline New York Mascara Colossal Waterproof Black-9.2ml,1799,,,https://em-cdn.eatmubarak.pk/55545/gallery/6902395743750.jpg,https://rajasahibfresh.pk/product/Maybelline New York Mascara Colossal Waterproof Black-9.2ml-product-item-1674229
Essence Thick & Wow! Fixing Brow Mascara 02 Ash Brown-6ml,1949,,,https://em-cdn.eatmubarak.pk/55545/gallery/4059729394774.jpg,https://rajasahibfresh.pk/product/Essence Thick & Wow! Fixing Brow Mascara 02 Ash Brown-6ml-product-item-1674230
Gabrini Eye Brow Mascara Dark Brown-6ml,1076,1345,20,https://em-cdn.eatmubarak.pk/55545/gallery/8696814069634.jpg,https://rajasahibfresh.pk/product/Gabrini Eye Brow Mascara Dark Brown-6ml-product-item-1674231
Gabrini Eye Brow Mascara Brown-6ml,1076,1345,20,https://em-cdn.eatmubarak.pk/55545/gallery/8696814069627.jpg,https://rajasahibfresh.pk/product/Gabrini Eye Brow Mascara Brown-6ml-product-item-1674232
Olivia Kajal Stick-1.6g,60,,,https://em-cdn.eatmubarak.pk/55545/gallery/858167000605.jpg,https://rajasahibfresh.pk/product/Olivia Kajal Stick-1.6g-product-item-1674233
Maybelline The Colossal Kajal Argan Oil Pencil - Black,999,,,https://em-cdn.eatmubarak.pk/55545/gallery/3600531453350.jpg,https://rajasahibfresh.pk/product/Maybelline The Colossal Kajal Argan Oil Pencil - Black-product-item-1674235
Maybelline Volume Express Colossal Mascara 100% Black-10.7ml,1749,,,https://em-cdn.eatmubarak.pk/55545/gallery/30079847.jpg,https://rajasahibfresh.pk/product/Maybelline Volume Express Colossal Mascara 100% Black-10.7ml-product-item-1674236
Maybelline Falsies Lash Lift Mascara 01 Very Black,3399,,,https://em-cdn.eatmubarak.pk/55545/gallery/6902395781660.jpg,https://rajasahibfresh.pk/product/Maybelline Falsies Lash Lift Mascara 01 Very Black-product-item-1674238
Rimmel London Scandaleyes Waterproof Kohl Kajal Liner Sparkling Black 002,1199,1599,25,https://em-cdn.eatmubarak.pk/55545/gallery/3614224079536.jpg,https://rajasahibfresh.pk/product/Rimmel London Scandaleyes Waterproof Kohl Kajal Liner Sparkling Black 002-product-item-1674239
Rimmel London Scandaleyes Ultimate Boost Primer,1087,1450,25,https://em-cdn.eatmubarak.pk/55545/gallery/3614228690645.jpg,https://rajasahibfresh.pk/product/Rimmel London Scandaleyes Ultimate Boost Primer-product-item-1674240
